AE016D,84-0075,LJ35,10,Learjet C-21A
AE0171,84-0079,LJ35,10,Learjet C-21A
AE0175,84-0120,LJ35,10,Learjet C-21A
AE0178,84-0129,LJ35,10,Learjet C-21A
AE0179,84-0140,LJ35,10,Learjet C-21A
AE017A,84-0142,LJ35,10,Learjet C-21A
AE0181,84-0139,LJ35,10,Learjet C-21A
AE0189,84-0095,LJ35,10,Learjet C-21A
AE018A,84-0096,LJ35,10,Learjet C-21A
AE0191,84-0124,LJ35,10,Learjet C-21A
AE0192,84-0125,LJ35,10,Learjet C-21A
AE0193,84-0126,LJ35,10,Learjet C-21A
AE0195,84-0135,LJ35,10,Learjet C-21A
AE0197,84-0137,LJ35,10,Learjet C-21A
AE01A1,86-0374,LJ35,10,Learjet C-21A
AE01A4,86-0377,LJ35,10,Learjet C-21A
AE01AA,84-0071,LJ35,10,Learjet C-21A
AE01AB,84-0072,LJ35,10,Learjet C-21A
AE01AC,84-0106,LJ35,10,Learjet C-21A
AE01AE,84-0085,LJ35,10,Learjet C-21A
AE01B0,84-0087,LJ35,10,Learjet C-21A
AE01B3,84-0110,LJ35,10,Learjet C-21A
AE01B9,84-0083,LJ35,10,Learjet C-21A